City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Salalah,OM,17.0151,54.0924,78.8,61,0,3.44,clear sky
317,Caxito,AO,-8.5785,13.6643,80.6,83,40,8.05,light rain
318,Nalut,LY,30.3333,10.85,52.63,35,5,7.85,clear sky
319,Morococha,PE,-11.5997,-76.1411,44.44,67,96,2.15,overcast clouds
320,Mogadishu,SO,2.0371,45.3438,80.28,80,8,20.45,clear sky
321,Rio Pomba,BR,-21.2747,-43.1792,78.8,57,40,4.61,scattered clouds
322,Berlevag,NO,70.8578,29.0864,26.6,63,0,16.11,clear sky
323,Jupiter,US,26.9342,-80.0942,73.4,49,90,6.91,overcast clouds
324,Hurghada,EG,27.2574,33.8129,77.0,73,0,8.05,clear sky
325,Pangnirtung,CA,66.1451,-65.7125,-14.8,70,20,6.91,few clouds
326,Abu Kamal,SY,34.4506,40.9171,72.63,43,100,23.67,overcast clouds
327,Beira,MZ,-19.8436,34.8389,82.4,74,20,11.5,moderate rain
328,Canarana,BR,-11.6847,-41.7689,86.09,33,99,8.81,overcast clouds
329,Copiapo,CL,-27.3667,-70.3333,71.6,56,0,12.66,clear sky
330,Villa Carlos Paz,AR,-31.4241,-64.4978,75.2,46,20,6.91,few clouds
331,Bonavista,CA,48.6499,-53.1147,48.2,37,60,10.36,broken clouds
332,Ascension,US,30.2169,-90.9001,75.2,50,90,9.22,overcast clouds
333,Denizli,TR,37.8402,29.0698,53.6,54,75,5.75,broken clouds
334,Iranshahr,IR,27.2025,60.6848,64.4,10,0,9.22,clear sky
335,Rohru,IN,31.2167,77.75,50.58,57,94,4.27,overcast clouds
336,Rock Sound,BS,24.9,-76.2,73.24,75,54,10.31,broken clouds
337,Eyl,SO,7.9803,49.8164,76.59,65,6,11.81,clear sky
338,Moca,DO,19.5,-70.5,82.4,65,75,5.75,broken clouds
339,Ornskoldsvik,SE,63.2909,18.7153,32.0,100,90,4.61,overcast clouds
340,General Roca,AR,-39.0333,-67.5833,86.0,32,0,1.14,clear sky
341,Medenychi,UA,49.4305,23.7507,32.0,74,0,4.47,clear sky
